mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	crescendo_line	Ottava:8va
2	2	16/3	16/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	38									3	0				
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12			1/8	2/3	39										0				
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																			
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																2			
3	3	6	6	0.16666666666666666	0	0	Chord	3/4	1	1	1/24			1/16	2/3	40		articAccentAbove							4		2			
3	3	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24			1/16	2/3	41									4		2			
3	3	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24			1/16	2/3	42									4		2			
3	3	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24			1/16	2/3	43									4		2			
3	3	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24			1/16	2/3	44									4		2			
3	3	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24			1/16	2/3	45									4		2			
3	3	7	7	0.16666666666666666	1/4	1/4	Chord	3/4	1	1	1/24			1/16	2/3	46									4		2			
3	3	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	3/4	1	1	1/24			1/16	2/3	47									4		2			
3	3	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	3/4	1	1	1/24			1/16	2/3	48											2			
3	3	15/2	15/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						mf													
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																			
3	3	15/2	15/2	0.16666666666666666	3/8	3/8	Chord	3/4	1	1	1/24			1/16	2/3	49		articAccentAbove							5					
3	3	23/3	23/3	0.16666666666666666	5/12	5/12	Chord	3/4	1	1	1/24			1/16	2/3	50									5					
3	3	47/6	47/6	0.16666666666666666	11/24	11/24	Chord	3/4	1	1	1/24			1/16	2/3	51									5					
3	3	8	8	0.0	1/2	1/2	Spanner	3/4	1	1	0														5			0		
3	3	8	8	0.16666666666666666	1/2	1/2	Chord	3/4	1	1	1/24			1/16	2/3	52									5			0		
3	3	49/6	49/6	0.16666666666666666	13/24	13/24	Chord	3/4	1	1	1/24			1/16	2/3	53									5			0		
3	3	25/3	25/3	0.16666666666666666	7/12	7/12	Chord	3/4	1	1	1/24			1/16	2/3	54									5			0		
3	3	17/2	17/2	0.0	5/8	5/8	Tempo	3/4	1	1	0									𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0	5			0		
3	3	17/2	17/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24			1/16	2/3	55									5			0		
3	3	26/3	26/3	0.0	2/3	2/3	Tempo	3/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	5			0		
3	3	26/3	26/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24			1/16	2/3	56									5			0		
3	3	53/6	53/6	0.0	17/24	17/24	Tempo	3/4	1	1	0									𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0				0		
3	3	53/6	53/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24			1/16	2/3	57												0		
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																			
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0															1				
3	3	6	6	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	58									6	1				
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	59									6	1				
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	60										1				
3	3	15/2	15/2	0.3333333333333333	3/8	3/8	Chord	3/4	2	1	1/12			1/8	2/3	61									7	1				
3	3	47/6	47/6	0.3333333333333333	11/24	11/24	Chord	3/4	2	1	1/12			1/8	2/3	62									7	1				
3	3	49/6	49/6	0.3333333333333333	13/24	13/24	Chord	3/4	2	1	1/12			1/8	2/3	63										1				
4	4	9	9	0.0	0	0	Dynamic	3/4	1	1	0						pp													
4	4	9	9	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0						
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0																			
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0																3			
4	4	9	9	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	64									8		3			
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	65									8		3			
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	66									8		3			
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	67									8		3			
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	1	1	0														8					
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	1	1	0														8			1		
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	68									8			1		
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	69									8			1		
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	70									8			1		
4	4	11	11	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	71									8			1		
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	72									8			1		
4	4	23/2	23/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	73									8			1		
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	74												1		
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	75									9	1				
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	76									9	1				
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	77									9	1				
4	4	10	10	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	78									9	1				
4	4	31/3	31/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	79									9	1				
4	4	32/3	32/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	80									9	1				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	81									9	1				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	82										1				
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																			
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																4			
5	5	12	12	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	83									10		4			
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	84									10		4			
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	85									10		4			
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	86									10		4			
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	1	1	0														10					
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	1	1	0														10			2		
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	87									10			2		
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	88									10			2		
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	89									10			2		
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	90									10			2		
5	5	57/4	57/4	0.0	9/16	9/16	Tempo	3/4	1	1	0									𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0	10			2		
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	91									10			2		
5	5	29/2	29/2	0.0	5/8	5/8	Tempo	3/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	10			2		
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	92									10			2		
5	5	59/4	59/4	0.0	11/16	11/16	Tempo	3/4	1	1	0									𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0				2		
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	93												2		
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																			
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0															2				
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	94									11	2				
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	95									11	2				
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	96									11	2				
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	97									11	2				
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	98									11	2				
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	99									11	2				
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	100									11	2				
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	101									11	2				
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12			1/8	2/3	102										2				
6	6	15	15	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0						
6	6	15	15	0.0	0	0	Spanner	3/4	1	1	0																			
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	103														
6	6	17	17	0.0	1/2	1/2	Tempo	3/4	1	1	0									𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0						
6	6	15	15	0.0	0	0	Dynamic	3/4	2	1	0						p									2				
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0															2		3		
6	6	15	15	0.14285714285714285	0	0	Chord	3/4	2	1	1/28			1/16	4/7	104									12	2		3		
6	6	106/7	106/7	0.14285714285714285	1/28	1/28	Chord	3/4	2	1	1/28			1/16	4/7	105									12	2		3		
6	6	107/7	107/7	0.14285714285714285	1/14	1/14	Chord	3/4	2	1	1/28			1/16	4/7	106									12	2		3		
6	6	108/7	108/7	0.14285714285714285	3/28	3/28	Chord	3/4	2	1	1/28			1/16	4/7	107									12	2		3		
6	6	109/7	109/7	0.14285714285714285	1/7	1/7	Chord	3/4	2	1	1/28			1/16	4/7	108									12	2		3		
6	6	110/7	110/7	0.14285714285714285	5/28	5/28	Chord	3/4	2	1	1/28			1/16	4/7	109									12	2		3		
6	6	111/7	111/7	0.14285714285714285	3/14	3/14	Chord	3/4	2	1	1/28			1/16	4/7	110									12	2		3		
6	6	16	16	0.125	1/4	1/4	Chord	3/4	2	1	1/32			1/32	1	111									12	2		3		
6	6	129/8	129/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32			1/32	1	112									12	2		3		
6	6	65/4	65/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32			1/32	1	113									12	2		3		
6	6	131/8	131/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32			1/32	1	114									12	2		3		
6	6	33/2	33/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32			1/32	1	115									12	2		3		
6	6	133/8	133/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32			1/32	1	116									12	2		3		
6	6	67/4	67/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32			1/32	1	117									12	2		3		
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32			1/32	1	118									12	2		3		
6	6	17	17	0.125	1/2	1/2	Chord	3/4	2	1	1/32			1/32	1	119									12	2		3		
6	6	137/8	137/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32			1/32	1	120									12	2		3		
6	6	69/4	69/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32			1/32	1	121									12	2		3		
6	6	139/8	139/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32			1/32	1	122									12	2		3		
6	6	35/2	35/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32			1/32	1	123									12	2		3		
6	6	141/8	141/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32			1/32	1	124									12	2		3		
6	6	71/4	71/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32			1/32	1	125									12	2		3		
6	6	143/8	143/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32			1/32	1	126										2		3		
7	7	19	19	0.0	1/4	1/4	Tempo	3/4	1	1	0									𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0						
7	7	2417/120	2417/120	0.0	257/480	257/480	Tempo	3/4	1	1	0									𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0						
7	7	9737/480	9737/480	0.0	1097/1920	1097/1920	Tempo	3/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0						
7	7	1961/96	1961/96	0.0	233/384	233/384	Tempo	3/4	1	1	0									𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0						
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																			
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																			
7	7	19	19	0.0	1/4	1/4	Dynamic	3/4	2	1	0						pp													
7	7	19	19	0.14285714285714285	1/4	1/4	Chord	3/4	2	1	1/28			1/32	8/7	127									13					
7	7	134/7	134/7	0.14285714285714285	2/7	2/7	Chord	3/4	2	1	1/28			1/32	8/7	128									13					
7	7	9257/480	9257/480	0.14285714285714285	617/1920	617/1920	Chord	3/4	2	1	1/28			1/32	8/7	129									13					
7	7	65279/3360	65279/3360	0.14285714285714285	4799/13440	4799/13440	Chord	3/4	2	1	1/28			1/32	8/7	130									13					
7	7	4697/240	4697/240	0.14285714285714285	377/960	377/960	Chord	3/4	2	1	1/28			1/32	8/7	131									13					
7	7	33119/1680	33119/1680	0.14285714285714285	2879/6720	2879/6720	Chord	3/4	2	1	1/28			1/32	8/7	132									13					
7	7	3177/160	3177/160	0.14285714285714285	297/640	297/640	Chord	3/4	2	1	1/28			1/32	8/7	133									13					
7	7	22399/1120	22399/1120	0.14285714285714285	2239/4480	2239/4480	Chord	3/4	2	1	1/28			1/32	8/7	134									13					
7	7	2417/120	2417/120	0.14285714285714285	257/480	257/480	Chord	3/4	2	1	1/28			1/32	8/7	135									13					
7	7	17039/840	17039/840	0.14285714285714285	1919/3360	1919/3360	Chord	3/4	2	1	1/28			1/32	8/7	136									13					
7	7	1961/96	1961/96	0.0	233/384	233/384	Spanner	3/4	2	1	0																			0
7	7	1961/96	1961/96	0.2857142857142857	233/384	233/384	Chord	3/4	2	1	1/14			1/16	8/7	137		articStaccatoBelow												0
7	7	13919/672	13919/672	0.0	1823/2688	1823/2688	Spanner	3/4	2	1	0																			
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0						pp													
8	8	21	21	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0						
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																			1
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																	4		1
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	138		articStaccatoAbove										4		1
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	139		articStaccatoAbove										4		1
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	1	0																	4		
8	8	23	23	0.0	1/2	1/2	Tempo	3/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0				4		
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	140		articStaccatoAbove										4		
8	8	21	21	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	141		articStaccatoAbove												
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	142		articStaccatoAbove												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	143		articStaccatoAbove												
9	9	49/2	49/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0						ppp													
9	9	49/2	49/2	0.0	1/8	1/8	Tempo	3/4	1	1	0									𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0						
9	9	49/2	49/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	144		articTenutoStaccatoAbove												
10	10	27	27	0.0	0	0	Dynamic	3/4	1	1	0						pp													
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0																5			
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	145									14		5			
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	146									14		5			
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	147									14		5			
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	148									14		5			
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	149									14		5			
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	150									14		5			
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	151									14		5			
10	10	29	29	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	152									14		5			
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	153									14		5			
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	154									14		5			
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	155											5			
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0															3				
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	156									15	3				
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	157									15	3				
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	158									15	3				
10	10	28	28	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	159									15	3				
10	10	85/3	85/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	160									15	3				
10	10	86/3	86/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	161									15	3				
10	10	29	29	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	162									15	3				
10	10	88/3	88/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	163									15	3				
10	10	89/3	89/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12			1/8	2/3	164										3				
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0						pp													
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																			
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																6			
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	165									16		6			
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	166									16		6			
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	167									16		6			
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	168									16		6			
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	169									16		6			
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	170									16		6			
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	171									16		6			
11	11	32	32	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	172									16		6			
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	173									16		6			
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	174									16		6			
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	175											6			
11	11	30	30	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	176									17	3				
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	177									17	3				
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	178									17	3				
11	11	31	31	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	179									17	3				
11	11	94/3	94/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	180									17	3				
11	11	95/3	95/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	181									17	3				
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	182									17	3				
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	183									17	3				
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12			1/8	2/3	184										3				
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																			
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																7			
12	12	33	33	0.16666666666666666	0	0	Chord	3/4	1	1	1/24			1/16	2/3	185		articAccentAbove							18		7			
12	12	199/6	199/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24			1/16	2/3	186									18		7			
12	12	100/3	100/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24			1/16	2/3	187									18		7			
12	12	67/2	67/2	0.16666666666666666	1/8	1/8	Chord	3/4	1	1	1/24			1/16	2/3	188									18		7			
12	12	101/3	101/3	0.16666666666666666	1/6	1/6	Chord	3/4	1	1	1/24			1/16	2/3	189									18		7			
12	12	203/6	203/6	0.16666666666666666	5/24	5/24	Chord	3/4	1	1	1/24			1/16	2/3	190									18		7			
12	12	34	34	0.16666666666666666	1/4	1/4	Chord	3/4	1	1	1/24			1/16	2/3	191									18		7			
12	12	205/6	205/6	0.16666666666666666	7/24	7/24	Chord	3/4	1	1	1/24			1/16	2/3	192									18		7			
